from,to,cnt
AK,AK,9
MI,AK,9
TX,AK,9
WY,AK,9
AL,AL,11
DC,AL,2
FL,AL,1
AK,AR,3
AR,AR,27
MO,AR,6
TN,AR,1
Canada,AZ,1
Italy,AZ,1
AR,AZ,2
AZ,AZ,15
FL,AZ,2
IL,AZ,2
KY,AZ,2
MI,AZ,1
MO,AZ,9
NY,AZ,4
Argentina,CA,2
Belgium,CA,4
Brazil,CA,2
Canada,CA,1
China,CA,4
Egypt,CA,9
France,CA,12
Germany,CA,3
Iran,CA,6
Italy,CA,2
Russia,CA,1
South Africa,CA,23
Sri Lanka,CA,1
Taiwan,CA,17
CA,CA,126
CT,CA,3
FL,CA,3
GA,CA,1
IL,CA,6
MA,CA,44
MI,CA,14
MT,CA,7
NC,CA,4
NH,CA,3
NJ,CA,1
NY,CA,30
OH,CA,11
OK,CA,3
PA,CA,20
RI,CA,7
TN,CA,6
TX,CA,5
UT,CA,2
VA,CA,4
VT,CA,4
WA,CA,2
WI,CA,10
Canada,CO,7
Germany,CO,1
United Kingdom,CO,1
CA,CO,14
CO,CO,31
CT,CO,2
LA,CO,10
NH,CO,2
NY,CO,6
TN,CO,8
TX,CO,8
WA,CO,8
Canada,CT,2
Greece,CT,2
India,CT,9
Ireland,CT,2
Italy,CT,3
Saudi Arabia,CT,2
Sweden,CT,1
United Kingdom,CT,5
AR,CT,7
CA,CT,3
CT,CT,20
IN,CT,4
MI,CT,1
NC,CT,1
NJ,CT,2
NY,CT,23
PA,CT,9
TX,CT,11
WA,CT,2
DC,DC,9
IN,DC,4
MA,DC,2
CA,DE,2
MA,DE,1
NY,DE,1
Cuba,FL,20
France,FL,1
Russia,FL,4
FL,FL,36
GA,FL,9
IN,FL,1
MA,FL,11
MI,FL,8
MN,FL,1
NC,FL,1
NY,FL,11
OH,FL,1
PA,FL,1
UT,FL,2
WA,FL,8
India,GA,7
Italy,GA,1
Morocco,GA,3
CA,GA,2
DC,GA,9
FL,GA,1
GA,GA,37
MA,GA,1
MI,GA,10
MN,GA,10
NC,GA,7
NY,GA,3
OH,GA,1
PA,GA,2
RI,GA,2
TN,GA,16
VT,GA,1
CA,IA,1
IA,IA,20
NJ,IA,8
India,IL,9
Italy,IL,7
United Kingdom,IL,3
CA,IL,2
FL,IL,12
IL,IL,74
MA,IL,15
MI,IL,11
MO,IL,6
NH,IL,3
NJ,IL,11
NY,IL,9
OH,IL,1
PA,IL,2
RI,IL,1
TX,IL,3
WA,IL,5
Italy,IN,1
New Zealand,IN,6
GA,IN,10
ID,IN,9
IN,IN,41
MI,IN,1
NC,IN,1
OH,IN,4
Morocco,KS,2
KS,KS,2
NJ,KS,4
Italy,KY,2
FL,KY,3
IL,KY,3
IN,KY,19
KY,KY,10
NH,KY,2
NY,KY,7
CA,LA,8
LA,LA,14
NJ,LA,2
NY,LA,3
Australia,MA,2
Greece,MA,1
India,MA,10
Italy,MA,13
Russia,MA,7
United Kingdom,MA,2
CA,MA,2
CO,MA,1
CT,MA,5
DC,MA,1
IL,MA,10
MA,MA,76
MI,MA,6
NC,MA,9
NJ,MA,5
NY,MA,11
OH,MA,1
PA,MA,14
Germany,MD,7
CT,MD,4
IL,MD,1
IN,MD,1
MA,MD,8
MD,MD,8
NE,MD,9
NY,MD,1
PA,MD,3
UT,MD,10
Italy,MI,4
Morocco,MI,5
Sweden,MI,1
AL,MI,5
MI,MI,33
MN,MI,8
NJ,MI,1
OH,MI,19
Italy,MN,5
United Kingdom,MN,3
AR,MN,1
CO,MN,2
IA,MN,6
IN,MN,2
KS,MN,3
MA,MN,1
MI,MN,2
MN,MN,37
PA,MN,1
TX,MN,2
WA,MN,3
United Kingdom,MO,2
CA,MO,8
MA,MO,10
MI,MO,9
MO,MO,18
NJ,MO,1
CO,MS,3
CT,MS,1
MS,MS,20
NM,MS,4
Czech Slovakia,NC,2
Egypt,NC,2
FL,NC,3
MD,NC,2
MO,NC,1
NC,NC,39
NY,NC,7
PA,NC,6
SC,NC,10
TX,NC,4
VA,NC,10
NE,NE,48
OK,NE,1
IL,NH,3
NY,NH,16
Cuba,NJ,10
Iraq,NJ,8
Lithuania,NJ,4
Switzerland,NJ,3
CT,NJ,1
MA,NJ,12
MI,NJ,2
NJ,NJ,34
NY,NJ,11
PA,NJ,13
VT,NJ,7
India,NV,2
CA,NV,19
NE,NV,1
NV,NV,10
NY,NV,5
OH,NV,2
PA,NV,3
Australia,NY,4
Canada,NY,8
France,NY,13
Germany,NY,1
India,NY,2
Italy,NY,1
Mexico,NY,8
Saudi Arabia,NY,8
United Kingdom,NY,8
CA,NY,16
DC,NY,9
IN,NY,2
MA,NY,29
MI,NY,8
MS,NY,1
NC,NY,5
NE,NY,2
NJ,NY,1
NY,NY,140
OH,NY,11
PA,NY,11
UT,NY,1
VT,NY,2
WI,NY,3
Australia,OH,1
Germany,OH,10
Italy,OH,14
Sweden,OH,1
CT,OH,2
FL,OH,1
GA,OH,6
IL,OH,1
MA,OH,2
NY,OH,14
OH,OH,96
OK,OH,8
PA,OH,5
CA,OK,1
MI,OK,4
NM,OK,10
OH,OK,1
OK,OK,13
TX,OK,8
CT,OR,1
MA,OR,2
MI,OR,7
OH,OR,1
OR,OR,13
WA,OR,10
Italy,PA,1
Poland,PA,10
CA,PA,1
CT,PA,1
DC,PA,3
FL,PA,12
IN,PA,9
MA,PA,1
MI,PA,4
NJ,PA,7
NY,PA,17
OH,PA,8
PA,PA,57
TX,PA,1
WA,PA,2
RI,RI,10
CA,SC,1
MA,SC,3
NC,SC,6
NY,SC,1
MN,SD,1
SD,SD,9
Iran,TN,2
Italy,TN,2
CT,TN,1
MI,TN,5
MS,TN,8
NY,TN,1
OH,TN,1
PA,TN,2
TN,TN,14
TX,TN,9
Brazil,TX,1
Germany,TX,3
Greece,TX,10
India,TX,1
Iraq,TX,1
Mexico,TX,1
United Kingdom,TX,1
AR,TX,1
AZ,TX,3
CO,TX,10
IA,TX,10
IL,TX,1
IN,TX,8
LA,TX,9
MA,TX,11
MD,TX,1
MI,TX,6
MN,TX,6
MS,TX,9
NC,TX,6
NE,TX,1
NJ,TX,4
NY,TX,22
OH,TX,10
OK,TX,6
PA,TX,1
RI,TX,1
TX,TX,161
UT,TX,1
VT,TX,2
WI,TX,1
IL,UT,5
NE,UT,8
NY,UT,1
UT,UT,6
VA,UT,10
India,VA,9
Italy,VA,3
AL,VA,3
CA,VA,3
CT,VA,1
DC,VA,2
MA,VA,1
MD,VA,15
MI,VA,5
MN,VA,7
NY,VA,5
OK,VA,1
PA,VA,7
VA,VA,30
WI,VA,8
WY,VA,1
Sweden,WA,10
CA,WA,5
FL,WA,1
NM,WA,10
NY,WA,6
OH,WA,3
RI,WA,2
WA,WA,27
Italy,WI,1
MI,WI,2
NE,WI,4
OH,WI,6
OR,WI,2
RI,WI,1
WI,WI,24
